,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
6351,Lovers,Albin Lee Meldau,191233,False,28,spotify:track:51sxhi4Hz3lb9Kk0DWfmmK,0.576,0.144,9,-12.764,0,0.0533,0.804,0.000118,0.11,0.292,119.087,https://api.spotify.com/v1/tracks/51sxhi4Hz3lb9Kk0DWfmmK,https://api.spotify.com/v1/audio-analysis/51sxhi4Hz3lb9Kk0DWfmmK
6352,What's Love Got to Do with It,Tina Turner,226880,False,70,spotify:track:4kOfxxnW1ukZdsNbCKY9br,0.851,0.406,1,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,https://api.spotify.com/v1/tracks/4kOfxxnW1ukZdsNbCKY9br,https://api.spotify.com/v1/audio-analysis/4kOfxxnW1ukZdsNbCKY9br
6353,U + Me (Love Lesson),Mary J. Blige,299841,False,30,spotify:track:3pgRZtVWo9k7ryOqmTeHuU,0.659,0.499,1,-8.49,1,0.0614,0.00626,4.07e-05,0.141,0.213,145.538,https://api.spotify.com/v1/tracks/3pgRZtVWo9k7ryOqmTeHuU,https://api.spotify.com/v1/audio-analysis/3pgRZtVWo9k7ryOqmTeHuU
6354,Lovefool,Willa,294251,False,20,spotify:track:5Gu0p8DtclKHVa43h3i0hF,0.702,0.404,10,-8.546,1,0.0377,0.00605,1.82e-05,0.0337,0.215,120.075,https://api.spotify.com/v1/tracks/5Gu0p8DtclKHVa43h3i0hF,https://api.spotify.com/v1/audio-analysis/5Gu0p8DtclKHVa43h3i0hF
6355,Let Me Love You - Andrew Watt Acoustic Remix,DJ Snake,206666,False,55,spotify:track:1LcxOZGMdAuScNbIN2Fvcq,0.686,0.379,0,-6.256,0,0.0305,0.773,0.0,0.104,0.47,100.032,https://api.spotify.com/v1/tracks/1LcxOZGMdAuScNbIN2Fvcq,https://api.spotify.com/v1/audio-analysis/1LcxOZGMdAuScNbIN2Fvcq
6356,Baby Boy,Childish Gambino,382093,False,0,spotify:track:3X7xCWOmb7UdYJDGP4oNIx,0.536,0.409,2,-6.983,0,0.0357,0.129,0.458,0.0668,0.706,200.003,https://api.spotify.com/v1/tracks/3X7xCWOmb7UdYJDGP4oNIx,https://api.spotify.com/v1/audio-analysis/3X7xCWOmb7UdYJDGP4oNIx
6357,I Love This Life,LOCASH,208863,False,0,spotify:track:5d0iu7Mc64GwJIMBGjDt2U,0.586,0.927,2,-3.014,1,0.0547,0.0164,7.24e-06,0.153,0.549,111.977,https://api.spotify.com/v1/tracks/5d0iu7Mc64GwJIMBGjDt2U,https://api.spotify.com/v1/audio-analysis/5d0iu7Mc64GwJIMBGjDt2U
6358,What Do You Love,Seeb,211875,False,54,spotify:track:4aB4udr3pcJuENmfDitPSZ,0.55,0.918,11,-2.818,1,0.0723,0.149,1.7e-05,0.355,0.35,95.977,https://api.spotify.com/v1/tracks/4aB4udr3pcJuENmfDitPSZ,https://api.spotify.com/v1/audio-analysis/4aB4udr3pcJuENmfDitPSZ
6359,Love Sosa,Chief Keef,246213,True,55,spotify:track:4IowQDUOzUvNtp72HMDcKO,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,https://api.spotify.com/v1/tracks/4IowQDUOzUvNtp72HMDcKO,https://api.spotify.com/v1/audio-analysis/4IowQDUOzUvNtp72HMDcKO
6360,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,239080,False,45,spotify:track:5MYfpFJYm8WNFGssR6H2Oz,0.547,0.188,1,-10.676,1,0.036,0.929,1.2e-06,0.714,0.192,135.657,https://api.spotify.com/v1/tracks/5MYfpFJYm8WNFGssR6H2Oz,https://api.spotify.com/v1/audio-analysis/5MYfpFJYm8WNFGssR6H2Oz
6361,Tuesday (feat. Drake),ILOVEMAKONNEN,321987,True,59,spotify:track:2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,https://api.spotify.com/v1/tracks/2znzyzlAUc8Z1Ikq9aFOcx,https://api.spotify.com/v1/audio-analysis/2znzyzlAUc8Z1Ikq9aFOcx
