,title,artist,featuring
38,drivers license,olivia rodrigo,no feat
39,diamonds,sam smith,no feat
40,wellerman,sea shanty,no feat
41,rasputin,"majestic,  boney m.",no feat
42,summer 91 looking back,noizu,no feat
43,last time,becky hill,no feat
44,break up song,little mix,no feat
45,good without,mimi webb,no feat
46,one too many,keith urban,no feat
47,astronaut in the ocean,masked wolf,no feat
48,up,cardi b,no feat
49,medicine,james arthur,no feat
50,runaway,aurora,no feat
51,nice to meet ya,"wes nelson,  yxng bane",no feat
52,wouldn't it be nice,the beach boys,no feat
53,little more love,aj tracey,no feat
54,tonight,ghost killer track, d-block europe & oboy
55,hold on,justin bieber,no feat
56,titanium,dave,no feat
57,sorry not sorry,dj khaled," nas, jay-z & james fauntleroy [harmonies by the hive]"
58,way too long,"nathan dawe,  mostack,  anne-marie",no feat
59,all you ever wanted,rag'n'bone man,no feat
60,another love,tom odell,no feat
61,take you dancing,jason derulo,no feat
62,bed joel corry vip mix,"joel corry,  raye,  david guetta",no feat
63,the four horsemen,aphrodite's child,no feat
64,marea we’ve lost dancing,"fred again..,  the blessed madonna",no feat
65,get it poppin',ad5,no feat
66,astronaut in the ocean,tasneem elaidy,no feat
67,levitating,dua lipa,no feat
68,without you,the kid laroi,no feat
69,heat waves,glass animals,no feat
70,pas de prise de tête,ad7,no feat
71,shift the culture,marcus in the morning," derek minor, eli lefty & the new cool"
72,playing games,silky,no feat
73,loading,central cee,no feat
74,powiedz,ich troje,no feat
75,arcade,duncan laurence, fletcher
76,fly freestyle instrumental,freestyle,no feat
77,track 15,rag'n'bone man,no feat
78,eastender,morrisson,no feat
79,deus é por nós,ad3,no feat
80,paradise,meduza, dermot kennedy
81,rain on me,"lady gaga,  ariana grande",no feat
82,simpin' is as simpin' does,ad-8,no feat
83,call your name extended version,a.m.t.,no feat
84,what’s next,drake,no feat
85,sweet melody,little mix,no feat
86,kipó mambo,deep,no feat
87,lightning crashes live,live,no feat
88,the winner takes it all,abba,no feat
89,essence,wizkid,no feat
90,stop crying your heart out bbc radio 2 allstars,"bbc concert orchestra,  ella eyre,  bryan adams,  gregory porter,  cher,  ava max,  clean bandit,  grace chatto,  bbc children in need,  anoushka shankar",no feat
91,blinded by the lights,the streets,no feat
92,black magic,jonasu,no feat
93,circle the endz,dutchavelli,no feat
94,adore you,harry styles,no feat
95,beautiful mistakes,"megan thee stallion,  maroon 5",no feat
96,gangsta's paradise,coolio, l.v.
97,blinding lights instrumental,the weeknd,no feat
98,6 for 6,central cee,no feat
99,head & heart originally performed by joel corry x mnek [karaoke no guide melody version],edkara,no feat
